iter	Passed	Remaining
0	3	3628
1	7	3723
2	11	3931
3	15	3981
4	19	3821
5	22	3755
6	26	3786
7	30	3816
8	34	3790
9	38	3822
10	42	3819
11	46	3842
12	50	3857
13	55	3880
14	59	3881
15	63	3876
16	66	3870
17	70	3859
18	74	3871
19	78	3868
20	83	3878
21	87	3871
22	90	3859
23	94	3859
24	98	3854
25	102	3855
26	106	3850
27	111	3853
28	114	3848
29	118	3841
30	122	3834
31	126	3834
32	130	3814
33	133	3790
34	137	3790
35	141	3785
36	145	3783
37	149	3780
38	153	3778
39	157	3773
40	161	3786
41	165	3765
42	168	3744
43	171	3719
44	174	3704
45	178	3703
46	182	3699
47	186	3698
48	189	3682
49	192	3663
50	196	3664
51	200	3656
52	204	3646
53	207	3631
54	211	3633
55	215	3628
56	219	3629
57	223	3623
58	227	3623
59	231	3621
60	235	3621
61	238	3613
62	242	3612
63	246	3604
64	250	3596
65	253	3583
66	257	3579
67	260	3577
68	264	3575
69	268	3571
70	272	3570
71	276	3568
72	280	3564
73	284	3563
74	288	3560
75	292	3552
76	296	3549
77	300	3548
78	304	3546
79	308	3543
80	312	3542
81	316	3542
82	320	3540
83	324	3538
84	328	3535
85	332	3532
86	336	3530
87	340	3527
88	344	3523
89	348	3520
90	352	3517
91	356	3515
92	360	3512
93	364	3512
94	368	3512
95	372	3510
96	376	3507
97	380	3504
98	384	3501
99	388	3495
100	392	3491
101	396	3488
102	400	3486
103	404	3484
104	408	3482
105	412	3479
106	416	3476
107	420	3473
108	424	3469
109	428	3468
110	431	3458
111	435	3450
112	439	3451
113	443	3450
114	448	3449
115	451	3439
116	455	3437
117	459	3436
118	463	3429
119	466	3423
120	470	3419
121	474	3416
122	478	3414
123	482	3411
124	486	3408
125	490	3402
126	494	3397
127	498	3395
128	502	3390
129	506	3387
130	510	3384
131	513	3379
132	518	3376
133	521	3371
134	525	3366
135	528	3359
136	532	3355
137	536	3352
138	540	3350
139	544	3347
140	549	3346
141	553	3342
142	557	3338
143	560	3332
144	563	3324
145	566	3316
146	570	3312
147	574	3309
148	578	3305
149	582	3302
150	586	3299
151	590	3291
152	593	3286
153	597	3282
154	601	3280
155	605	3276
156	609	3271
157	613	3267
158	617	3264
159	621	3261
160	625	3258
161	629	3255
162	633	3252
163	637	3248
164	641	3245
165	645	3241
166	649	3238
167	653	3235
168	657	3231
169	661	3228
170	665	3224
171	669	3221
172	673	3218
173	677	3215
174	681	3210
175	685	3207
176	689	3204
177	693	3200
178	697	3198
179	701	3194
180	705	3190
181	708	3186
182	712	3182
